,Name,Latitude,Longitude
211,ΧΟΛΑΡΓΟΣ ΠΛΑΤΕΙΑ ΕΘ ΝΕΑ ΑΝΤΙ,37.9928362,23.8079759
212,ΧΟΛΑΡΓΟΣ ΠΛΑΤΕΙΑ ΕΘ ΝΕΑ ΑΝΤΙ,37.9933355,23.8086915
213,ΧΟΛΑΡΓΟΣ ΠΛΑΤΕΙΑ ΕΘ ΝΕΑ ΑΝΤΙ,37.9931808,23.8091466
214,ΧΟΛΑΡΓΟΣ ΠΛΑΤΕΙΑ ΕΘ ΝΕΑ ΑΝΤΙ,37.998817,23.8066786
215,ΠΑΠΑΓΟΥ,37.9839076,23.8024947
216,ΠΑΠΑΓΟΥ,37.9831901,23.803207
217,ΠΑΠΑΓΟΥ,37.9834898,23.8024765
218,ΠΑΠΑΓΟΥ,37.9831834,23.8029742
219,ΠΑΠΑΓΟΥ,37.9834999,23.8026952
220,ΠΑΠΑΓΟΥ,37.9831968,23.8034403
221,ΠΑΠΑΓΟΥ,37.9834807,23.8022793
222,ΠΑΠΑΓΟΥ,37.9898357,23.7869877
223,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9724184,23.7615038
224,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9724488,23.761741
225,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9702404,23.778522
226,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9703198,23.7779842
227,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9704112,23.7785992
228,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9703725,23.7780885
229,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9673778,23.7628469
230,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.9736732,23.784572
231,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.9734581,23.784572
232,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.9845227,23.7717338
233,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.9842251,23.772721
234,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.9844124,23.7718301
235,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.9842976,23.7720638
236,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.984388,23.7714475
237,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ,37.9840936,23.7811881
238,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ,37.9711771,23.7642255
239,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ,37.97102,23.7639703
240,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ,37.9723837,23.7612427
241,ΚΑΙΣΑΡΙΑΝΗ ΑΝΩ ΚΑΙΣΑΡΙΑΝΗ,37.9677304,23.7657285
242,ΚΑΙΣΑΡΙΑΝΗ ΑΝΩ ΚΑΙΣΑΡΙΑΝΗ,37.9675175,23.7663022
243,ΒΥΡΩΝΑΣ,37.9501551,23.7559864
244,ΒΥΡΩΝΑΣ,37.9561341,23.7468181
245,ΒΥΡΩΝ ΖΩΟΔΟΧΟΣ ΠΗΓΗ,37.9558502,23.7783759
246,ΗΛΙΟΥΠΟΛΗ ΚΑΤΩ ΗΛΙΟΥΠΟΛΗ,37.922956,23.746483
247,ΗΛΙΟΥΠΟΛΗ ΚΑΤΩ ΗΛΙΟΥΠΟΛΗ,37.9228009,23.7464688
248,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.9239615,23.7608051
249,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.9241974,23.7611665
250,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.9240084,23.7603042
251,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.9241509,23.7603624
252,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.9242629,23.7609238
253,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.9238753,23.76025
254,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.9237365,23.7601934
255,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.9238555,23.7610425
256,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.9243452,23.7605198
257,ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ,37.92436,23.7602042
258,ΗΛΙΟΥΠΟΛΗ ΑΝΩ ΗΛΙΟΥΠΟΛΗ,37.9474463,23.7645346
259,ΗΛΙΟΥΠΟΛΗ ΚΑΤΩ ΗΛΙΟΥΠΟΛΗ,37.9339857,23.7501562
260,ΑΡΓΥΡΟΥΠΟΛΗ,37.9038104,23.7573105
261,ΑΡΓΥΡΟΥΠΟΛΗ,37.9117602,23.7360091
262,ΑΡΓΥΡΟΥΠΟΛΗ,37.9054884,23.7298871
263,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8180069,23.7745564
264,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8320131,23.7843684
265,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8284912,23.7721018
266,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.814047,23.7736677
267,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8187347,23.7797032
268,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8186748,23.77951
269,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8191006,23.7797976
270,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8188703,23.7801167
271,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8191614,23.7799878
272,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8097394,23.7831441
273,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8137744,23.7805191
274,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8139654,23.7798956
275,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8179515,23.7708844
276,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8175056,23.7706169
277,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8178529,23.770504
278,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8133929,23.7779331
279,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8135039,23.7779355
280,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.813653,23.7784026
281,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8136557,23.7782164
282,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8138871,23.7786408
283,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8139683,23.7797098
284,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8137718,23.7806955
285,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.817742,23.7701319
286,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8177142,23.770545
287,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8327333,23.7716036
288,ΒΑΡΗ,37.8364898,23.7895502
289,ΒΑΡΗ,37.8368964,23.7895847
290,ΒΑΡΗ,37.8207672,23.8091196
291,ΒΑΡΗ,37.8314484,23.8062695
292,ΒΑΡΗ,37.8315175,23.8059094
293,ΒΑΡΗ,37.8314833,23.8060873
294,ΒΑΡΗ,37.8164041,23.7989396
295,ΒΑΡΗ,37.8203871,23.8049222
296,ΒΑΡΗ,37.8204734,23.805079
297,ΒΑΡΗ,37.8535523,23.8225267
298,ΒΑΡΗ,37.8346753,23.8165991
299,ΒΑΡΗ,37.8312136,23.8051975
300,ΒΑΡΗ,37.832058,23.8173267
301,ΒΑΡΗ,37.832059,23.8171211
302,ΒΟΥΛΑ ΑΝΩ ΒΟΥΛΑ,37.854883,23.767983
303,ΒΟΥΛΑ ΑΝΩ ΒΟΥΛΑ,37.8552287,23.7679915
304,ΒΟΥΛΑ ΑΝΩ ΒΟΥΛΑ,37.8550549,23.7679633
305,ΒΟΥΛΑ ΑΝΩ ΒΟΥΛΑ,37.8554008,23.7679718
306,ΒΟΥΛΑ ΑΝΩ ΒΟΥΛΑ,37.855572,23.7679903
307,ΒΟΥΛΑ ΑΝΩ ΒΟΥΛΑ,37.8542189,23.7698181
308,ΒΟΥΛΑ ΑΝΩ ΒΟΥΛΑ,37.8449829,23.7612198
309,ΒΟΥΛΑ ΑΝΩ ΒΟΥΛΑ,37.8600967,23.7838648
310,ΒΟΥΛΑ ΑΝΩ ΒΟΥΛΑ,37.8518463,23.7512492
311,ΒΟΥΛΑ ΑΝΩ ΒΟΥΛΑ,37.8515328,23.7512854
312,ΓΛΥΦΑΔΑ,37.8589578,23.7556825
313,ΓΛΥΦΑΔΑ,37.8555401,23.7549556
314,ΓΛΥΦΑΔΑ,37.8552337,23.7551142
315,ΓΛΥΦΑΔΑ,37.8553915,23.7551813
316,ΓΛΥΦΑΔΑ,37.8555369,23.7552352
317,ΓΛΥΦΑΔΑ,37.8702224,23.7424426
318,ΓΛΥΦΑΔΑ,37.875176,23.7429508
319,ΓΛΥΦΑΔΑ,37.875002,23.7427029
320,ΓΛΥΦΑΔΑ,37.8684827,23.752577
321,ΓΛΥΦΑΔΑ,37.8636519,23.7445885
322,,37.8973483,23.7556824
323,,37.8969724,23.7557459
324,,37.8967432,23.7560743
325,,37.8972664,23.7555182
326,,37.8970471,23.7558958
327,,37.8904731,23.7565933
328,ΕΛΛΗΝΙΚΟ ΑΓΙΑ ΠΑΡΑΣΚΕΥ,37.8902633,23.7442109
329,ΕΛΛΗΝΙΚΟ ΑΓΙΑ ΠΑΡΑΣΚΕΥ,37.8846461,23.7302701
