,id,postal_code,territory,latitude,longitude,municipality,population
213,213,15562,ΧΟΛΑΡΓΟΣ ΠΛΑΤΕΙΑ ΕΘ ΝΕΑ ΑΝΤΙ,37.9931808,23.8091466,Papagou-Cholargos,45264.0
214,214,15562,ΧΟΛΑΡΓΟΣ ΠΛΑΤΕΙΑ ΕΘ ΝΕΑ ΑΝΤΙ,37.998817,23.8066786,Papagou-Cholargos,45264.0
215,215,15669,ΠΑΠΑΓΟΥ,37.9839076,23.8024947,Papagou-Cholargos,45264.0
216,216,15669,ΠΑΠΑΓΟΥ,37.9831901,23.803207,Papagou-Cholargos,45264.0
217,217,15669,ΠΑΠΑΓΟΥ,37.9834898,23.8024765,Papagou-Cholargos,45264.0
218,218,15669,ΠΑΠΑΓΟΥ,37.9831834,23.8029742,Papagou-Cholargos,45264.0
219,219,15669,ΠΑΠΑΓΟΥ,37.9834999,23.8026952,Papagou-Cholargos,45264.0
220,220,15669,ΠΑΠΑΓΟΥ,37.9831968,23.8034403,Papagou-Cholargos,45264.0
221,221,15669,ΠΑΠΑΓΟΥ,37.9834807,23.8022793,Papagou-Cholargos,45264.0
222,222,15669,ΠΑΠΑΓΟΥ,37.9898357,23.7869877,Papagou-Cholargos,45264.0
223,223,15771,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9724184,23.7615038,Zografos,69872.0
224,224,15771,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9724488,23.761741,Zografos,69872.0
225,225,15772,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9702404,23.778522,Zografos,69872.0
226,226,15772,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9703198,23.7779842,Zografos,69872.0
227,227,15772,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9704112,23.7785992,Zografos,69872.0
228,228,15772,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9703725,23.7780885,Zografos,69872.0
229,229,15772,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9673778,23.7628469,Zografos,69872.0
230,230,15773,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.9736732,23.784572,Zografos,69872.0
231,231,15773,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.9734581,23.784572,Zografos,69872.0
232,232,15773,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.9845227,23.7717338,Zografos,69872.0
233,233,15773,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.9842251,23.772721,Zografos,69872.0
234,234,15773,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.9844124,23.7718301,Zografos,69872.0
235,235,15773,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.9842976,23.7720638,Zografos,69872.0
236,236,15773,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.984388,23.7714475,Zografos,69872.0
237,237,15780,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ,37.9840936,23.7811881,Zografos,69872.0
238,238,15780,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ,37.9711771,23.7642255,Zografos,69872.0
239,239,15780,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ,37.97102,23.7639703,Zografos,69872.0
240,240,15780,ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ,37.9723837,23.7612427,Zografos,69872.0
241,241,16122,ΚΑΙΣΑΡΙΑΝΗ ΑΝΩ ΚΑΙΣΑΡΙΑΝΗ,37.9677304,23.7657285,Kessariani,26268.0
242,242,16122,ΚΑΙΣΑΡΙΑΝΗ ΑΝΩ ΚΑΙΣΑΡΙΑΝΗ,37.9675175,23.7663022,Kessariani,26268.0
243,243,16232,ΒΥΡΩΝΑΣ,37.9501551,23.7559864,Vyronas,59135.0
244,244,16232,ΒΥΡΩΝΑΣ,37.9561341,23.7468181,Vyronas,59135.0
245,245,16233,ΒΥΡΩΝ ΖΩΟΔΟΧΟΣ ΠΗΓΗ,37.9558502,23.7783759,Vyronas,59135.0
246,246,16341,ΗΛΙΟΥΠΟΛΗ ΚΑΤΩ ΗΛΙΟΥΠΟΛΗ,37.922956,23.746483,Ilioupoli,76732.0
